Title,Address,State,Original
Labor Magazine,"P.O. Box 1426, Birmingham",Alabama,"Labor Magazine, P.O. Box 1426, Birmingham"
News Digest (CIO),"306 N. 17 St., Birmingham",Alabama,"News Digest (CIO), 306 N. 17 St., Birmingham"
The Union News,Jasper,Alabama,"The Union News, Jasper"
Mobile Labor Journal,"P.O. Box 949, Mobile",Alabama,"Mobile Labor Journal, P.O. Box 949, Mobile"
Gulf Coast News Digest (CIO),"215 Van Antwerp Bldg., Mobile",Alabama,"Gulf Coast News Digest (CIO), 215 Van Antwerp Bldg., Mobile"
Anchorage Weekly Times,Anchorage,Alaska,"Anchorage Weekly Times, Anchorage"
Arizona Independent,"P.O. Box 17, Phoenix",Arizona,"Arizona Independent, P.O. Box 17, Phoenix"
Arizona Labor Journal,"P.O. Box 389, Phoenix",Arizona,"Arizona Labor Journal, P.O. Box 389, Phoenix"
Phoenix Labor Press,"1637 W. Jefferson St., Phoenix",Arizona,"Phoenix Labor Press, 1637 W. Jefferson St., Phoenix"
Arizona Teamster,"30 W. Congress St., Tucson",Arizona,"Arizona Teamster, 30 W. Congress St., Tucson"
The Southwestern Labor Record,"227-229 E. 10 St., Tucson",Arizona,"The Southwestern Labor Record, 227-229 E. 10 St., Tucson"
Arkansas CIO Labor Journal,"1108 1/2 Garrison Ave., Ft. Smith Ft. Smith Union News, Labor Temple, 107% N. 10 St., Ft. Smith Union Labor Bulletin, 1441 Donoghey Bldg., Little Rock",Arkansas,"Arkansas CIO Labor Journal, 1108% Garrison Ave., Ft. Smith Ft. Smith Union News, Labor Temple, 107% N. 10 St., Ft. Smith Union Labor Bulletin, 1441 Donoghey Bldg., Little Rock"
Kern County Union Labor Journal,"Labor Temple, 2121 Eye St., Bakersfield",California,"Kern County Union Labor Journal, Labor Temple, 2121 Eye St., Bakersfield"
Fresno Labor Citizen,"479 N. Fresno St., Fresno",California,"Fresno Labor Citizen, 479 N. Fresno St., Fresno"
Flashes,"Local 683, 6461 Sunset Blvd., Hollywood",California,"Flashes, Local 683, 6461 Sunset Blvd., Hollywood"
The Labor News,"235 E. 4 St., Long Beach",California,"The Labor News, 235 E. 4 St., Long Beach"
Los Angeles Citizen,"Union Labor Temple Annex, 532-540 Maple Ave., Los Angeles",California,"Los Angeles Citizen, Union Labor Temple Annex, 532-540 Maple Ave., Los Angeles"
Southern California Teamster,"846 S. Union Ave., Los Angeles",California,"Southern California Teamster, 846 S. Union Ave., Los Angeles"
Transit Reporter,"Transportation Union Div. 1277, 656 S. Los Angeles St., Los Angeles",California,"Transit Reporter, Transportation Union Div. 1277, 656 S. Los Angeles St., Los Angeles"
UAW News (CIO),"5851 S. Avalon Blvd., Los Angeles",California,"UAW News (CIO), 5851 S. Avalon Blvd., Los Angeles"
California Labor Review,"5823 Occidental St., Oakland",California,"California Labor Review, 5823 Occidental St., Oakland"
East Bay Labor Journal,"2111 Webster St., Oakland",California,"East Bay Labor Journal, 2111 Webster St., Oakland"
Crown City Labor Journal,"43 E. Walnut St., Pasadena",California,"Crown City Labor Journal, 43 E. Walnut St., Pasadena"
Riverside Labor Record,"Labor Temple, Riverside",California,"Riverside Labor Record, Labor Temple, Riverside"
Sacramento Valley Union Labor Bulletin,"Labor Temple, 8th & Eye Sts., Sacramento",California,"Sacramento Valley Union Labor Bulletin, Labor Temple, 8th & Eye Sts., Sacramento"
Labor Leader,"204 Crystal Palace Bldg., San Diego",California,"Labor Leader, 204 Crystal Palace Bldg., San Diego"
The Dispatcher (ILWU-CIO),"604 Montgomery St., San Francisco",California,"The Dispatcher (ILWU-CIO), 604 Montgomery St., San Francisco"
FTA Cannery Worker (CIO),"150 Golden Gate Ave., San Francisco",California,"FTA Cannery Worker (CIO), 150 Golden Gate Ave., San Francisco"
International Fisherman (IFAW-CIO),"2907 Jones St., San Francisco",California,"International Fisherman (IFAW-CIO), 2907 Jones St., San Francisco"
Labor Clarion,"Labor Temple, 2940 16 St., San Francisco",California,"Labor Clarion, Labor Temple, 2940 16 St., San Francisco"
Labor Herald (CIO),"150 Golden Gate Ave., San Francisco",California,"Labor Herald (CIO), 150 Golden Gate Ave., San Francisco"
Musical News,"230 Jones St., San Francisco",California,"Musical News, 230 Jones St., San Francisco"
Organized Labor,"238 13 St., San Francisco",California,"Organized Labor, 238 13 St., San Francisco"
Voice of the Marine Cooks & Stewards Assoc. (CIO),"86 Commercial St., San Francisco",California,"Voice of the Marine Cooks & Stewards Assoc. (CIO), 86 Commercial St., San Francisco"
Weekly News Letter,"402. Flood Bldg., San Francisco",California,"Weekly News Letter, 402. Flood Bldg., San Francisco"
West Coast Sailors,"110 Market St., San Francisco",California,"West Coast Sailors, 110 Market St., San Francisco"
Union Labor News,"32 E. Victoria St., Santa Barbara",California,"Union Labor News, 32 E. Victoria St., Santa Barbara"
Santa Maria-San Luis Obispo Labor News,"109 S. Broadway, Santa Maria",California,"Santa Maria-San Luis Obispo Labor News, 109 S. Broadway, Santa Maria"
Association of Suburban Labor Newspapers,"1414 Second St., Santa Monica",California,"Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica"
Beach Cities Labor Journal,"Santa Monica, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica",California,"Beach Cities Labor Journal, Santa Monica, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica"
Orange County Labor News,"Santa Ana, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica",California,"Orange County Labor News, Santa Ana, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica"
Pomona Valley Union Labor Review,"Pomona, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica",California,"Pomona Valley Union Labor Review, Pomona, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica"
Inland California Labor Journal,"San Bernardino, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica",California,"Inland California Labor Journal, San Bernardino, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica"
San Fernando Valley Labor News,"Glendale, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica",California,"San Fernando Valley Labor News, Glendale, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica"
San Pedro Wilmington Labor Review,"Wilmington, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica",California,"San Pedro Wilmington Labor Review, Wilmington, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica"
Southern Nevada Labor News,"Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica",California,"Southern Nevada Labor News, Association of Suburban Labor Newspapers, 1414 Second St., Santa Monica"
The Pathfinder-Union,"P.O. Box 922, Stockton",California,"The Pathfinder-Union, P.O. Box 922, Stockton"
West Side Union,Taft,California,"West Side Union, Taft"
The People's Weekly,"10010 102 St., Edmonton, Alberta",Canada,"The People's Weekly, 10010 102 St., Edmonton, Alberta"
Labour Digest,"110 Catharine St., N., Hamilton, Ontario",Canada,"Labour Digest, 110 Catharine St., N., Hamilton, Ontario"
Labor News,"206 Lister Bldg., Hamilton, Ontario",Canada,"Labor News, 206 Lister Bldg., Hamilton, Ontario"
Federated Railwayman,"11 St. Paul St. W., Montreal, Quebec",Canada,"Federated Railwayman, 11 St. Paul St. W., Montreal, Quebec"
The Labor World,"11 St. Paul St., W., Montreal, Quebec",Canada,"The Labor World, 11 St. Paul St., W., Montreal, Quebec"
Canadian Unionist,"230 Laurier Ave., W., Ottawa, Ontario",Canada,"Canadian Unionist, 230 Laurier Ave., W., Ottawa, Ontario"
Trades & Labor Congress Journal,"172 McLaren St., Ottawa, Ontario",Canada,"Trades & Labor Congress Journal, 172 McLaren St., Ottawa, Ontario"
The Labor Leader,"64 Duke St., Toronto, Ontario",Canada,"The Labor Leader, 64 Duke St., Toronto, Ontario"
The Labor Statesman,"531 Beatty St., Vancouver, British Columbia",Canada,"The Labor Statesman, 531 Beatty St., Vancouver, British Columbia"
Labor News,"112 E. Cucharras St., Colorado Springs",Colorado,"Labor News, 112 E. Cucharras St., Colorado Springs"
Colorado Labor Advocate,"507 Interstate Trust Bldg., Denver",Colorado,"Colorado Labor Advocate, 507 Interstate Trust Bldg.,"
